src,tgt
"वहीं है जिसने ईमानवालों के दिलों में सकीना (प्रशान्ति) उतारी, ताकि अपने ईमान के साथ वे और ईमान की अभिवृद्धि करें-आकाशों और धरती की सभी सेनाएँ अल्लाह ही की है, और अल्लाह सर्वज्ञ, तत्वदर्शी है।-","It is He who sent down composure into the hearts of the faithful that they might enhance in their faith. To Allah belong the hosts of the heavens and the earth, and Allah is all - knowing, all - wise."
"ये कीट बिल्कुल पेड़ के तनों तथा पत्तों जैसे लगते हैं, जिससे उड़ते हुए भूखे पक्षी यह नहीं पहचान पाते कि ये उनका भोजन हैं।",These insects look so much like sticks or leaves that a hungry bird flying by will not recognize them as food.
बेशक उन लोगों ने अपना सख्त घाटा किया और जो इफ़तेरा परदाज़िया किया करते थे वह सब गायब (ग़ल्ला) हो गयीं बेशक तुम्हारा परवरदिगार ख़ुदा ही है जिसके (सिर्फ) 6 दिनों में आसमान और ज़मीन को पैदा किया फिर अर्श के बनाने पर आमादा हुआ वही रात को दिन का लिबास पहनाता है तो (गोया) रात दिन को पीछे पीछे तेज़ी से ढूंढती फिरती है और उसी ने आफ़ताब और माहताब और सितारों को पैदा किया कि ये सब के सब उसी के हुक्म के ताबेदार हैं,"Surely your Lord is God who created the heavens and the earth in six spans of time, then assumed all power. He covers up the day with night which comes chasing it fast; and the sun and moon and the stars are subject to His command. It is His to create and enjoin. Blessed be God, the Lord of all the worlds."
"अब यह सिद्ध हो गया है कि जनसंख्या तभी स्थिर रह सकती है जब बच्चों की मृत्युदर, मातृत्व स्वास्थय मसले ओर जन्मनिरोधक मसलों को साथ-साथ प्रभावित तौर पर देखा जाए।","It is now well established that population is stablised only when child survival issues, material health issues and contraception issues are addressed simultaneously and effectively."
मेरा ख़्याल है कि यह संजीदगी मानो मेरा बचाव करती थी क़्योंकि मुझे इस बात का हमेशा अंदेशा रहता कि मैं जज़्बाती होने की वजह से काफी कुछ कह जाता हूं.,"That too, I am inclined to think, was a way of self - protection against a fear I always had of being swept away by too much sentiment."
"(iii) धारा 154 के उपबंध, जहां तक हो सके, उसके और उस पूर्ववर्ष के, जिसमें उपधारा (1) में निर्दिष्ट शर्त का पालन करने में असफलता होती है, अंत से संगणित उस धारा की उपधारा (7) में विनिर्दिष्ट चार वर्ष की अवधि के संबंध में लागू होंगे।","(iii) the provisions of section 154 shall, so far as may be, apply thereto and the period of four years specified in sub-section (7) of that section being reckoned from the end of the previous year in which the failure to comply with the condition referred to in sub-section (1) takes place."
न्यूजीलैंड के प्रधानमंत्री और उनके शिष्टमंडल का भारत आगमन पर स्वागत करते हुए राष्ट्रपति ने कहा कि भारत न्यूजीलैंड के साथ अपने संबंध को महत्व देता है।,"Welcoming the Prime Minister of New Zealand and his delegation to India, President Mukherjee said India values its relationship with New Zealand."
"थारू समुदाय ने प्रकृति की सुरक्षा के लिए BARNA को एक परंपरा के रूप में अपनाया है; वह भी सदियों से। इस अवधि के दौरान, न तो कोई गांव में प्रवेश करता है, और न ही घर छोड़ता है, और वे मानते हैं कि यदि वे बाहर निकलते हैं या यदि कोई व्यक्ति कहीं और से प्रवेश करता है, तो लोगों की अन्य नियमित गतिविधियों के साथ-साथ और आगे बढ़ने से नए पौधों का विनाश हो सकता है।","The Thaaru community has adopted BARNA as a tradition for protection of nature; that too for centuries. During this period, neither does anyone enter the village, nor leave home, and they believe that if they step out or if someone enters from elsewhere, the to and fro movement along with other routine activities of people can lead to the destruction of new plants and trees."
"जरायुसंधान, गर्भाशयसंधान, शिरोदकर ऑपरेशन",Shirodkar 's operation
"बीसवीं शताब्दी में उपन्यास का इतना विकास हो चुका है कि इसमें फ़तांसीऔर कविता, प्रतीकात्मकता तथा मनोवैज्ञानिकता के लिए भी स्थान बन गया है; जेम्स ज्वायस और वर्जीनिया वुल्फ़ की कृतियाँ इसका प्रमाण हैं।","In the twentieth century, the novel has developed to a point where it accommodates fantasy and poetry, symbolism and the stream - of - consciousness, in the works of writers like James Joyce and Virginia Woolf."
"उन दिनों क्या दार्शनिक धारणाएं थीं, इसका आभास उनके 'महात्मा बुद्ध' की भूमिका के उस उद्धहरण में मिलता है-बुद्ध का तर्क बहुत सशक्त है, और ज्ञान को अतुलनीय।",A glimpse into his philosophy of those days may be had from the following excerpt from the Introduction to his book on Gautam Buddha: Buddha 's logic is very powerful and his knowledge incomparable.
फाइल का नाम बदलने में त्रुटि,Error renaming file
शिकार पर पाबंदी का विरोध करने वाल खेमा दरासल शार्क मछलियों की पूंछ का फायदेमंद और तेजी से बढेता कारोबार बंद होने से ज्यादा चिंतित है. गौरतलब है कि हाल के वर्षों में प्रशांत महासागर क्षेत्र के देशों में शार्क की तादाद खत्म होने से भारत की ओर ध्यान गया है.,"The anti - ban lobby is actually more worried at the ceasing of the lucrative shark fin trade that has been multiplying in recent years, especially with the Pacific Ocean rim countries having exhausted their shark populations and the focus turning on India in a big way."
"(i) निर्धारिती अथवा उसका पति या उसकी पत्नी अथवा अवयस्क संतान या जहां ऐसा निर्धारिती किसी हिन्दू अविभक्त कुटुम्ब का सदस्य है, वहां ऐसा कुटुम्ब उस स्थान का स्वामी है, जहां वह मामूलीतौर पर निवास करता है या अपने पद पर नियोजन के कर्त्तव्यों का पालन करता है या अपना कारबार या वृति चलाता है; या","(i) owned by the assessee or by his spouse or minor child or, where such assessee is a member of a Hindu undivided family, by such family at the place where he ordinarily resides or performs duties of his office or employment or carries on his business or profession; or"
मलका ने कहा बादशाहों का क़ायदा है कि जब किसी बस्ती में (बज़ोरे फ़तेह) दाख़िल हो जाते हैं तो उसको उजाड़ देते हैं और वहाँ के मुअज़िज़ लोगों को ज़लील व रुसवा कर देते हैं और ये लोग भी ऐसा ही करेंगे,"She said, 'Kings, when they enter a city, disorder it and make the mighty ones of its inhabitants abased. Even so they too will do."
"यंग इंडिया, 13-10-21 मेरी राय में भारत की-न सिर्फ भारत की बल्कि सारी दुनिया की-अर्थरचना ऐसी होना चाहिये कि किसी को भी अन्न और वस्त्र के अभाव की तकलीफ न सहनी पड़े।","Young India, 13 - 10 - '21 According to me the economic constitution of India and for the matter of that of the world, should be such that no one under it should suffer from want of food and clothing."
यह विज्ञप्ति 1815 बजे जारी की गई.,This release issued 1815 hrs.
सिविल वाद और वर्तमान अपील एक अप्रत्यक्ष और सुविचारित तरीके से मध्यतल पर दुकान का कब्ज़ा प्राप्त करने के एक और प्रयास से ज्यादा और कुछ भी नहीं है.,The civil suit and the present appeal are nothing but another attempt at obtaining possession of the shop on the mezzanine floor – through an indirect and calculated method.
"निस्संदेह अल्लाह और उसके फ़रिश्ते नबी पर रहमत भेजते है। ऐ ईमान लानेवालो, तुम भी उसपर रहमत भेजो और ख़ूब सलाम भेजो","Allah and His angels bless the Prophet. Believers, invoke blessings and peace on him."
"और धरती रब के प्रकाश से जगमगा उठेगी, और किताब रखी जाएगी और नबियों और गवाहों को लाया जाएगा और लोगों के बीच हक़ के साथ फ़ैसला कर दिया जाएगा, और उनपर कोई ज़ुल्म न होगा","And the earth shall beam with the light of its Lord, and the Book shall be laid down, and the prophets and the witnesses shall be brought up, and judgment shall be given between them with justice, and they shall not be dealt with unjustly."
और 14 दिन के कठिन संघर्ष के बाद यह दल फिर से विजयी यात्रा पर निकला और इसने लक्ष्य पर पहुंचकर विश्राम किया।,"And after a long and hard struggle for 14 days, the expedition once again set out on its victory trip and stopped only after achieving its aim."
वह लोग कड़ाई से परखी हुई उक्तियों के बजाय वैज्ञानिक पाठ्यपुस्तकों की आराधना करने लगते है और उनके मानस पर एक नये प्रकार का गुरुडम का धुंधलका छाने लगता है और उनमें आत्मविश्वास की वृत्ति पैदा नहीं होती।,They start adoring scientific textbooks more than rigorously tested observations: a new kind of 'Guruism' clouds their mind instead of developing a spirit of self - confidence.
राष्ट्रपति सचिवालय द्वारा कल्याण के एक उपाय के रूप में टाटा पावर दिल्ली डिस्ट्रीब्यूशन लिमिटेड (टीपीडीडीएल) के सहयोग से राष्ट्रपति संपदा के निवासियों के लिए बोलचाल की अंग्रेजी की कक्षाओं का आरंभ किया गया है।,English speaking classes for the residents of President’s Estate were started by President's Secretariat in association with Tata Power Delhi Distribution Limited (TPDDL) as a welfare measure.
१०९वें काँग्रेस में अल्पसंख्य डेमोक्रैट सदस्य के रूप में उन्होंने पारंपरिक हथियारों पर नियंत्रण तथा संघीय कोष के प्रयोग में अधिक सार्वजनिक उत्तरदायित्व का समर्थन करते विधेयकों के निर्माण में सहयोग दिया।,"As a minority democratic member of the 109th Congress, he worked towards developing programmes that aimed at control on nuclear weapons and their collection."
"बौद्धिक प्रज्ञा केवल निम्नतर बुद्धि है; एक अन्य उच्चतर बुद्धि भी है जो प्रज्ञा नहीं बल्कि दृष्टि है, नीचे स्थित होना नहीं, वरन् ज्ञान में ऊपर स्थित होना1 है, और जो ज्ञान की खोज एवं प्राप्ति निरीक्षण सामग्री के अधीन रहकर नहीं करती, बल्कि सत्य को पहले से ही अपने अन्दर रखती है और सत्यदर्शक एवं अन्तर्ज्ञानात्मक विचार के रूपों में उसे प्रकट करती है।","The intellectual understanding is only the lower buddbi; there is another and a higher buddbi which is not intelligence but vision, is not understanding but rather an over - standing1 in knowledge, and does not seek knowledge and attain it in subjection to the data it observes but possesses already the truth and brings it out in the terms of a revelatory and intuitional thought."
"लेकिन चीन-भारत या चीन-रूस संबंधों के भविष्य के बारे मे अभी से अनुमान लगाना या इन्हें किसी भी रूप में सम्बद्ध करना ताकि एशियाई सुरक्षा सम्भव हो सके, किसी भी उद्देश्य की सिद्धि में सहायक नहीं होगा।",But just now it would serve little purpose to speculate upon the immediate future course of Sino - Soviet or Sino - Indian relations or to link these in any way with the idea of Asian collective security.
"प्रार्थना के ढंग अनेक बार अधकचरे होते हैं और केवल बालसदृश ही नहीं,-जो अपने-आपमें कोई दोष नहीं है,-बल्कि बालिश भी होते हैं, परन्तु फिर भी इसमें एक वास्तवि शक्ति और अर्थ है।","Its forms are very often crude and not only childlike, which is in itself no defect, but childish; but still it has a real power and significance."
"तथापि, भारत के लोगों ने कृषि के क्षेत्र में इजराइल के नवाचार, किबुट्ज प्रणाली और आपके वैज्ञानिकों और इंजीनियरों की शानदार उपलब्धि की सदैव सराहना की है।","The Indian people have, nonetheless, always appreciated Israeli innovations in the field of agriculture, the kibbutzsystem and the remarkable achievements of your scientists and engineers."
"अक्टूबर सन् 1894 में, सुदर्शन पत्रिका में आठ पृष्ठों की बढ़ोतरी के साथ ही उसका वार्षिक शुल्क दो रुपये बढ़ा दिया गया।","In October, 1894, the size of Sudarshan was increased by eight pages and the annual subscription was raised to two rupees."
अखंडता जाँचें (_ T),_ Test Integrity
नोबेल विजेता-हर गोविंद खुराना; सुब्रह्मणयम चंद्रशेखर; डॉ. अमर्त्य सेन तथा वेंकटरमण रामकृष्णन ने उच्च शिक्षा के लिए विदेश जाने से पूर्व भारतीय विश्वविद्यालयों से स्नातक या स्नातकोत्तर अध्ययन किया।,Nobel laureates – Har Gobind Khorana; Subrahmanyam Chandrasekhar; Dr. Amartya Sen; and Venkatraman Ramakrishnan – did their graduate or post - graduate studies in Indian universities before they went abroad for higher learning.
"इस अवसर पर, राष्ट्रपति ने कहा कि मध्य प्रदेश में इंदिरा गांधी राष्ट्रीय जनजातीय विश्वविद्यालय की स्थापना करना एक उपयुक्त कदम रहा क्योंकि इस राज्य में 15 मिलियन जनजातीय आबादी है।","Speaking on the occasion, the President said that the establishment of the National Tribal University in Madhya Pradesh was appropriate as the state has a 15 million strong tribal population."
शिवलिंग रूद्र सर्जा ने वरू सिद्प्पा द्वारा बाए गए जार लङकों में से अन्ततः मस्तमरङी के बल्लप्पा गौङ के पूत्र शिवलिंगप्पा को चुना।,"Of the four boys brought by Gurusiddappa, Shivalin - garudra Sarja finally selected Shivalingappa, son of Balap - pagouda of Mastmaradi."
"प्राचीन स्मारक संरक्षण अधिनियम में कुछ संशोधनों के तहत विदेशी संस्थानों को भारत में फील्डवर्क करने की अनुमति दी गई थी, जिसके माध्यम से सिंध में चन्हुद्रो की खोज की गई और खुदाई की गई।","Under certain amendments in the Ancient Monuments Preservation Act foreign institutions were allowed to undertake fieldwork in India , through which Chanhudaro in Sind was explored and excavated."
"आर्थिक, सामाजिक एवं सांस्कृतिक अधिकारों में शामिल हैं आहार तथा स्वास्थ्य, लोकतंत्र उचित जीवन-स्तर, समान श्रम के लिए समान वेतन, सामाजिक सुरक्षा, काम-धंधा, हड़ताल करने, आवास पाने, शिक्षा प्राप्त करने तथा, सांसकृतिक जीवन में भाग लेने आदि के अधिकार।","Examples of economic, social and cultural rights are the rights to food and to health, to an adequate standard of living, to equal pay for equal work, to social security, to work, to strike, to housing, to education and to participate in cultural life."
आरटीआई आवेदन पत्र डाउनलोड करें,Download RTI Application Form
मीटिंग को डाक भेजें,Mail to meeting
"पने डेटा और सेटिंग को बैक अप करने के लिए, आप पहले एवोल्यूशन बंद करें. कृपया सुनिश्चित करें कि आप आगे बढ़ने से पहले किसी भी असहेजे हुए डेटा को जरुर सहेजें.","To back up your data and settings, you must first close Evolution. Please make sure that you save any unsaved data before proceeding."
पिछले 50 साल से अदालतों में और 15 साल से सड़ेकों पर अयोध्या मुद्दे पर भिड़ेते आए हिंदू और मुसलमान धार्मिक-राजनैतिक नेताओं के लिए भी शंकराचार्य कम महत्वपूर्ण नहीं.,"To the Hindu and Muslim religio - political leaders who have been contesting the Ayodhya issue in the courts for 50 years and on the streets for a decade and a half, the Shankaracharya is no less crucial."
"अगर किसी को पाकिस्तान के सदाशयों में थोडी भी श्रद्धा हो, तो पूर्व बंगाल की घटनायें उसे पूरी तरह छिन्न-भिन्न कर देंगी।","If anybody had any little faith in the good intentions of Pakistan, East Bengal should shatter it completely."
"और यदि तुम्हें आशंका हो कि तुम अनाथों (अनाथ लड़कियों) के प्रति न्याय न कर सकोगे तो उनमें से, जो तुम्हें पसन्द हों, दो-दो या तीन-तीन या चार-चार से विवाह कर लो। किन्तु यदि तुम्हें आशंका हो कि तुम उनके साथ एक जैसा व्यवहार न कर सकोंगे, तो फिर एक ही पर बस करो, या उस स्त्री (लौंड़ी) पर जो तुम्हारे क़ब्ज़े में आई हो, उसी पर बस करो। इसमें तुम्हारे न्याय से न हटने की अधिक सम्भावना है","If you fear that you cannot act justly towards the orphans, then marry such women as seem good to you; two, three, four of them. But if you fear that you cannot do justice, then one only, or, those you possess. It is likelier then that you will not be partial."
"राज्य के पास उत्कृष्ट विद्युत निकास मूल संरचना भी है, अर्थात् यह देश के किसी भी क्षेत्र में विद्युत का परिवहन और विक्रय कर सकता है।","The State also has excellent power evacuation infrastructure, that is, it can transport and sell power to deficit areas in any part of the country."
तो तुम अपनी खेती में जिस तरह चाहो आओ और अपनी आइन्दा की भलाई के वास्ते (आमाल साके) पेशगी भेजो और ख़ुदा से डरते रहो और ये भी समझ रखो कि एक दिन तुमको उसके सामने जाना है और ऐ रसूल ईमानदारों को नजात की ख़ुश ख़बरी दे दो,"Your women are a tillage for you; so come into your tillage as you will; and first perform the deeds that benefit you; and keep fearing Allah, and know well that you have to meet Him; and (O dear Prophet Mohammed – peace and blessings be upon him) give glad tidings to the Muslims."
"भारत के राष्ट्रपति,श्री प्रणब मुखर्जी,5 मई से 7 मई 2013 के दौरान,पश्चिम बंगाल की तीन दिवसीय यात्रा पर रहेंगे।","The President of India, Shri Pranab Mukherjee will undertake a three-day visit to West Bengal (Kolkata and Midnapore) from May 5 to 7, 2013."
केरिता ओरा निर्यात फ़िल्टरName,Krita Encapsulated PostScript Export Filter
अपनी कमजोरी को महसूस कर और नये नियमों के पालन में अपनी अयोग्यता को समझते हुए सरकार ने स्वयं अपने कॉलिजों में कानून की सभी कक्षाएं बंद करने का फैसला किया।,"Realizing their deficiency and their inability to comply with the new regulations, Govern - ment decided to chose all Law classes attached to its colleges."
"न्यायिक निर्णयों ने किसी भी संस्था द्वारा, चाहे वह सरकारी हो या निजी क्षेत्र की, जन संसाधनों के उपयोग में संसदीय जवाबदेही सुनिश्चित करने में हमारी लेखा संस्था की प्रमुख भूमिका को रेखांकित किया है।","Judicial verdicts have underscored the paramount role of our audit institution in ensuring parliamentary accountability in use of public resources by any entity, whether in the public or private domain."
तब नूह ने कहा कि ऐ मेरी क़ौम मुझ में गुमराही (वग़ैरह) तो कुछ नहीं बल्कि मैं तो परवरदिगारे आलम की तरफ से रसूल हूँ,"""I have not gone astray, O my people,"" he said, ""but have been sent by my Lord, the creator of all the worlds."
"गतिशीलता के कारण महासागर में उन विभिन्न भागों के तापों को बराबर करने की प्रवृत्ति होती है, जो विशाल भू-अवरोधों से अलग विलग न हों।","The ocean, because of its mobility, always tends to equalize the temperatures in different parts not separated by large land barriers."
"कहो, ""तुम्हें आकाश और धरती से रोज़ी कौन देता है, या ये कान और आँखें किसके अधिकार में है और कौन जीवन्त को निर्जीव से निकालता है और निर्जीव को जीवन्त से निकालता है और कौन यह सारा इन्तिज़ाम चला रहा है?"" इसपर वे बोल पड़ेगे, ""अल्लाह!"" तो कहो, ""फिर आख़िर तुम क्यों नहीं डर रखते?""","Say: 'Who provides you out of heaven and earth, or who possesses hearing and sight, and who brings forth the living from the dead and brings forth the dead from the living, and who directs the affair?' They will surely say, 'God.' Then say: 'Will you not be godfearing?'"
मुंबई नाम दो शब्दों से मिलकर बना है मुंबा या महा-अंबा हिन्दू देवी दुर्गा का रूप जिनका नाम मुंबा देवी है और आई मां को मराठी में कहते हैं।,"Mumbai word is made from two words, Mumba or maha Amba Hindu Durga goddess, whose name is goddess Mumba and mother is called 'Aai' in Marathi."
ये शिखर चूना-मिट्टी से निर्मित (गचकारी) बुद्ध व बोधिसत्व की प्रतिमायुक्त आलों की पंक्तियों से सुसज्जित हैं एवं गुप्तकालीन कलाशैली के उत्कृष्ट उदाहरणों में से एक हैं।,And decorated with rows of niches containing beautiful stucco images of Buddha and Bodhisattvas which are fine specimens of Gupta art.
इज़्रायल का ध्वज,Flag of Israel
"इसके अलावा, विभाग-संबंधित संसदीय स्थायी समितियां, जो मंत्रालयों/विभागों की वार्षिक अनुदान मांगों की जांच करती हैं, संयुक्त समितियां हैं जिनमें दस सदस्य राज्य सभा से होते हैं।","Besides, the Department-related Parliamentary Standing Committees that examine the annual Demands for Grants of the Ministries/Departments are joint committees having ten members from Rajya Sabha."
"डा0 राजेन्द्रलाल मित्र ने भी बंगाल की रॉयल् एशियाटिक् सोसायटी के समक्ष 4 अप्रैल 1870 को इस तथ्य का उल्लेख किया था कि 1850 तक पूरे मिदनापुर और बाँकुड़ा के लोगों और अदालतों-कचहरियों की भाषा ओड़िया ही थी; कि 1850 में ओड़िया को जान-बूझ कर दमित कर डाला गया था और उसकी जगह बाङ् ला थोप दी गयी थी, जिसका परिणाम यह हुआ था कि बीस वर्ष में ही यह भाषा-परिवर्तन अंतिम रूप से पूर्ण संपन्न हो चुका था।","As was mentioned by Dr. Rajendra Lal Mitra before the Royal Asiatic Society of Bengal on the 4th April, 1870, Oriya had been the language of the people and the language in the courts in the whole of Midna - pore and Bankura up to 1850, when it was deliberately suppressed apd replaced by Bengali, so that, in 20 years, the change was finally complete."
"श्री अरिंदम सेन गुप्ता मीडिया जगत में अत्यधिक लोकप्रिय और प्रशंसनीय व्यक्तित्व थे। श्री सेन गुप्ता का, विशेषकर टाइम्स ऑफ इंडिया समूह के साथ, दीर्घ और विशिष्ट कार्यकाल रहा।","Shri Arindam Sen Gupta was a much loved and admired personality in the world of media. Shri Sen Gupta had a long and distinguished career, especially with the Times of India group."
"बजाने के लिए चयनित ऑडियो युक्ति खोलने में असमर्थ. यदि यह एक प्लगेबल युक्ति है, इसे फिर कनेक्ट करना पर्याप्त होगा. यदि नहीं, या यह अभी भी पहुँच योग्य नहीं है, कृपया अपने ऑडियो सेटअप को जाँचें, अनुमति, और देखें कि युक्ति व्यस्त तो नहीं है.","Unable to open the selected audio device for playing. In case it is a pluggable device it may be sufficient to reconnect it. If not, or if it still is not accessible, please check your audio setup, the permissions and that the device is not busy."
ग़रज़ यूसुफ को जब ये लोग ले गए और इस पर इत्तेफ़ाक़ कर लिया कि उसको अन्धे कुएँ में डाल दें और (आख़िर ये लोग गुज़रे तो) हमने युसुफ़ के पास 'वही' भेजी कि तुम घबराओ नहीं हम अनक़रीब तुम्हें मरतबे (उँचे मकाम) पर पहुँचाएगे (तब तुम) उनके उस फेल (बद) से तम्बीह (आग़ाह) करोगे,"So when they took him away and conspired to put him into the recess of a well, We revealed to him, ‘ [A day will come when] you will surely inform them about this affair of theirs while they are not aware [of your identity]. ’"
"वे कहेंगे, ""वे हमसे गुम होकर रह गए, बल्कि हम इससे पहले किसी चीज़ को नहीं पुकारते थे।"" इसी प्रकार अल्लाह इनकार करनेवालों को भटकता छोड़ देता है",Beside Allah? They say: They have failed us; but we used not to pray to anything before. Thus doth Allah send astray the disbelievers (in His guidance).
"तीसरी महत्वपूर्ण चीज अरबवासियों का आधुनिता के प्रति प्रतिबद्धता: “ आश्चर्यों में से एक यह है कि बीसवीं शताब्दी के अरब मुस्लिमों ने आधुनिक विश्व के परिवर्तनों को स्वीकार किया है”। सउदी अरब और यमन को छोड्कर हर स्थान पर उन्हें मिला कि, “ अरब आधुनिकता दिखाई देने वाली शक्ति है” (इसलिये परिवर्तन की हवा मेरा पहला शब्द है)। महिलाओं के प्रति उनकी एकांगी चिंता पढने वाले को सन्न कर देती हैः “ हरम और इसके मनोवैज्ञानिक स्तम्भ बीसवीं शताब्दी में आये हैं”। आर्थिक मामलों में महिलायें लगभग पुरुषों के बराबर हैं। वे वही देख रहे हैं जो वह चाहते हैं और वास्तविकता से उनके ऊपर कोई असर होता नहीं दिखता।","A third theme involves Arab determination to modernize: “One of the surprises of the 20 th Century has been the way the Arab Moslems have accepted change and the modern world. ” Excepting Saudi Arabia and Yemen, he finds everywhere that “Arab modernism is a tangible, visible, audible force. ” (Thus the “invigorating winds of change” in my first sentence.) His myopia concerning females makes for stunning reading: “The harem and its psychological pillars have been dynamited by the 20 th Century. ” “In economic affairs, … women are almost men 's equals. ” He sees what he wants to, undisturbed by reality. < s > The book caption: “Friendly scholars of the Moslem Shiite sect stroll in a courtyard of their shrine in Najaf, Iraq, while others pray, meditate or even sleep. ”"
"(3) खंड (2) की कोई बात लोक सभा में राज्य के प्रतिनिधित्व पर तब तक प्रभाव नहीं डालेगी जब तक परिसीमन अधिनियम, 1972 के अधीन संसदीय निर्वाचन-क्षेत्रों के परिसीमन से संबंधित परिसीमन आयोग के अंतिम आदेश या आदेशों के भारत के राजपत्र में प्रकाशन की तारीख को विद्यमान सदन का विघटन न हो जाए।","(3) Nothing in clause (2) shall affect the representation of the State in the House of the People until the dissolution of the House existing on the date of publication in the Gazette of India of the final order or orders of the Delimitation Commission relating to the delimitation of parliamentary constituencies under the Delimitation Act, 1972."
"जिस रामसुन्दर पंडितको कल तक केवल जर्मिस्टन ही जानता था, उसे एक क्षणमें सारा दक्षिण अफ्रीका जानने लग गया।","Rama Sundara, who was till yesterday known only to the good people of Germiston, became in one moment famous all over South Africa."
"शेख अब्दुल्ला जल्दी ही दिल्ली आयेंगे और उनकी ओर से आपको जो कठिनाइयां अनुभव करनी पड़ती है, उन पर सन्तोषप्रद हल ढूंढने का हम प्रयत्न करेंगे।",Sheikh Abdullah will be coming to Delhi shortly and we shall endeavour to reach a satisfactoy solution of the difficulties which you have from that quarter.
"तदोपरांत, राजभोज के दौरान अपने अभिभाषण में राष्ट्रपति मुखर्जी ने कहा कि यद्यपि अफगान राष्ट्रपति अपने पूर्व दायित्वों के तहत यहां पहले कई बार आ चुके हैं परंतु यह यात्रा खास है।","Later, in his banquet speech, President Mukherjee said although the Afghan President has travelled India in his previous capacities on a number of occasions, this is a special visit."
"ये इस प्रयोग में सफल हो गए जो साहब हमसे भी कहेगें कि लो करो, इस तरह और उस तरह; और यदि सफल न हुए तो अपना बोरिया-बिस्तर लेकर चल देंगे।","You are not concerned with the consequences; if you succeed, the Education Officer will tell us to do this and that; and if your experiment fails, you will pack up and go away."
"एकत्रण खाता संख्या 11084239799 है जो भारतीय स्टेट बैंक, इंस्टीट्यूशनल डिविजन, चौथी मंजिल, संसद मार्ग, नई दिल्ली के पास है।","Collection account number is 11084239799 with State Bank of India, Institutional Division, 4th Floor, Parliament Street, New Delhi."
"किन्तु जब हम उनपर से यातना को एक नियत समय के लिए जिस तक वे पहुँचनेवाले ही थे, हटा लेते तो क्या देखते कि वे वचन-भंग करने लग गए",But no sooner was the punishment withdrawn for a time to enable them to make good their promise than they broke it.
द्विआधारी खोज प्रणाली,Binary search algorithm
"(ii) निर्धारिती ने उस पूर्ववर्ष की बाबत जिसमें ऐसी कटौती का दावा किया जाता है, निर्धारण के पूरा होने के पूर्व ऐसी अपेक्षा का अनुपालन कर दिया है :",(ii) the assessee has complied with such requirement before the completion of assessment in relation to the previous year in which such deduction is claimed :
अदालत ने तब फैसला दिया कि मर्साई में सावरकर की गैर-कानूनी गिरफ्तारी किसी भी मायने में भारतीय न्यायालय के मुकदमा चलाने के अधिकार को बाधित नहीं करती.,The court declared that Savarkar 's illegal arrest at Marseilles did not in any manner affect the powers of the Indian law courts to try him.
ऐसे ही लोग है जिनपर उन गिरोहों के साथ यातना की बात सत्यापित होकर रही जो जिन्नों और मनुष्यों में से उनसे पहले गुज़र चुके है। निश्चय ही वे घाटे में रहे,They are those on whom the sentence of God would be justified as on communities of jinns and men before them. They will surely perish.
स्वामी विवेकानंद योग अनुसंधान संस्थान (मानद विश्वविद्यालय) (बाहरी वेबसाइट जो एक नई विंडों में खुलती हैं),Swami Vivekananda Yog Anusandhana Samsthana (Deemed University) (External website that opens in a new window)
"वैदिक सभ्यता में महिलाओं को सदैव सर्वोच्च सम्मान और स्वतंत्रता दी जाती थी तथा साथ ही उनकी सुरक्षा और रक्षा संपूर्ण समाज का पावन कर्तव्य होता था। यह हमारी संस्कृति है,यह हमारी धरोहर है।","In the Vedic civilization, women were always given the highest level of respect and freedom and at the same time, their protection and safety was a sacred duty of society as a whole."
